IP-ADDRESS,PING-RESPONCE,IPID-ICMP,IPID-TCP,PORT-RESULT,COOKIES,TTL,WINDOW-SIZE,OS-TYPE,OS-FAMILY,
187.155.21.90,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,54,CLOSED-PORT,Linux Most likely,LINUX,
217.93.185.178,ON,ZERO,CLOSED-PORT,CLOSED,CLOSED-PORT,54,CLOSED-PORT,Linux Most likely,LINUX,
87.11.38.104,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
84.162.12.7,ON,ZERO,CLOSED-PORT,CLOSED,CLOSED-PORT,55,CLOSED-PORT,Linux Most likely,LINUX,
31.0.223.102,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,46,CLOSED-PORT,Linux Most likely,LINUX,
190.15.59.188,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,46,CLOSED-PORT,Linux Most likely,LINUX,
70.122.214.15,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,48,CLOSED-PORT,Linux Most likely,LINUX,
173.72.196.148,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,53,CLOSED-PORT,Linux Most likely,LINUX,
99.185.75.67,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
203.118.128.110,ON,INCREMENTAL,ZERO,OPEN,DEPLOYED,52,8192,Linux Most likely,LINUX,
86.88.120.8,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,53,CLOSED-PORT,Linux Most likely,LINUX,
106.52.115.145,ON,RANDOM,ZERO,OPEN,NOT-DEPLOYED,45,8192,Linux Most likely,LINUX,
190.229.231.166,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
85.173.163.200,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
187.155.3.171,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,54,CLOSED-PORT,Linux Most likely,LINUX,
109.132.38.1,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
66.29.164.98,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,240,CLOSED-PORT,Cisco-Router Most likely,CISCO,
81.164.160.229,ON,INCREMENTAL,RANDOM,OPEN,DEPLOYED,50,8192,Linux Most likely,LINUX,
75.190.249.79,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
97.83.236.110,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
151.95.116.207,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
46.234.80.87,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,53,CLOSED-PORT,Linux Most likely,LINUX,
88.120.219.8,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
78.242.214.2,ON,INCREMENTAL,ZERO,OPEN,NOT-DEPLOYED,53,8192,Linux Most likely,LINUX,
87.175.22.65,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
24.208.64.178,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,53,CLOSED-PORT,Linux Most likely,LINUX,
123.207.23.211,ON,RANDOM,ZERO,OPEN,NOT-DEPLOYED,45,8192,Linux Most likely,LINUX,
76.103.86.132,ON,RANDOM,ZERO,OPEN,NOT-DEPLOYED,43,8192,Linux Most likely,LINUX,
79.131.31.70,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
181.29.18.229,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,52,CLOSED-PORT,Linux Most likely,LINUX,
79.144.233.177,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,52,CLOSED-PORT,Linux Most likely,LINUX,
46.234.81.60,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,53,CLOSED-PORT,Linux Most likely,LINUX,
217.227.175.250,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
204.112.191.70,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,242,CLOSED-PORT,Cisco-Router Most likely,CISCO,
181.223.175.145,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
187.199.182.111,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,55,CLOSED-PORT,Linux Most likely,LINUX,
78.35.80.119,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
77.8.12.158,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,49,CLOSED-PORT,Linux Most likely,LINUX,
66.170.64.29,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
72.68.92.110,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,53,CLOSED-PORT,Linux Most likely,LINUX,
94.214.219.199,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,53,CLOSED-PORT,Linux Most likely,LINUX,
94.69.107.206,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
106.75.71.81,ON,RANDOM,ZERO,OPEN,NOT-DEPLOYED,43,8192,Linux Most likely,LINUX,
94.227.16.106,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,51,CLOSED-PORT,Linux Most likely,LINUX,
190.189.43.42,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
186.50.210.129,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,50,CLOSED-PORT,Linux Most likely,LINUX,
87.123.114.230,ON,ZERO,CLOSED-PORT,CLOSED,CLOSED-PORT,49,CLOSED-PORT,Linux Most likely,LINUX,
46.46.238.19,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
99.138.65.10,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
5.186.58.140,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
187.199.189.91,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,55,CLOSED-PORT,Linux Most likely,LINUX,
93.186.148.175,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
89.0.80.104,ON,ZERO,CLOSED-PORT,CLOSED,CLOSED-PORT,47,CLOSED-PORT,Linux Most likely,LINUX,
45.43.62.235,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
108.26.191.36,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,52,CLOSED-PORT,Linux Most likely,LINUX,
79.193.235.221,ON,ZERO,CLOSED-PORT,CLOSED,CLOSED-PORT,55,CLOSED-PORT,Linux Most likely,LINUX,
84.162.16.2,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
187.199.179.87,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,55,CLOSED-PORT,Linux Most likely,LINUX,
206.47.30.227,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
217.227.175.163,ON,ZERO,CLOSED-PORT,CLOSED,CLOSED-PORT,54,CLOSED-PORT,Linux Most likely,LINUX,
98.253.72.24,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
81.227.243.119,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,50,CLOSED-PORT,Linux Most likely,LINUX,
217.88.115.103,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
217.174.90.19,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
104.178.9.183,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
117.48.120.226,ON,RANDOM,ZERO,OPEN,NOT-DEPLOYED,40,8192,Linux Most likely,LINUX,
91.41.163.19,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
93.41.152.122,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,48,CLOSED-PORT,Linux Most likely,LINUX,
79.202.31.72,ON,ZERO,CLOSED-PORT,CLOSED,CLOSED-PORT,55,CLOSED-PORT,Linux Most likely,LINUX,
84.162.9.91,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
82.73.31.93,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,53,CLOSED-PORT,Linux Most likely,LINUX,
87.11.39.37,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
37.247.80.148,ON,ZERO,RANDOM,OPEN,NOT-DEPLOYED,44,8192,Linux Most likely,LINUX,
42.194.226.30,ON,RANDOM,ZERO,OPEN,NOT-DEPLOYED,45,8192,Linux Most likely,LINUX,
189.230.137.234,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,55,CLOSED-PORT,Linux Most likely,LINUX,
146.168.23.39,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
71.112.197.189,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,53,CLOSED-PORT,Linux Most likely,LINUX,
179.24.196.64,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,50,CLOSED-PORT,Linux Most likely,LINUX,
2.87.106.121,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
46.234.82.7,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,53,CLOSED-PORT,Linux Most likely,LINUX,
104.191.82.237,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
2.38.229.175,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
45.43.57.172,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
78.237.108.84,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,53,CLOSED-PORT,Linux Most likely,LINUX,
78.35.89.102,ON,ZERO,CLOSED-PORT,CLOSED,CLOSED-PORT,47,CLOSED-PORT,Linux Most likely,LINUX,
116.88.135.110,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
37.179.155.213,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
24.6.215.42,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
1.52.128.25,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,49,CLOSED-PORT,Linux Most likely,LINUX,
190.206.167.196,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,50,CLOSED-PORT,Linux Most likely,LINUX,
101.36.105.97,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
87.148.51.111,ON,ZERO,CLOSED-PORT,CLOSED,CLOSED-PORT,55,CLOSED-PORT,Linux Most likely,LINUX,
88.153.24.4,ON,ZERO,CLOSED-PORT,CLOSED,CLOSED-PORT,50,CLOSED-PORT,Linux Most likely,LINUX,
143.178.250.176,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
78.116.146.104,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,49,CLOSED-PORT,Linux Most likely,LINUX,
71.190.199.35,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
2.98.14.198,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
89.247.113.58,ON,ZERO,CLOSED-PORT,CLOSED,CLOSED-PORT,49,CLOSED-PORT,Linux Most likely,LINUX,
87.122.214.149,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
78.217.251.26,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,54,CLOSED-PORT,Linux Most likely,LINUX,
79.114.126.208,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
189.230.53.106,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,55,CLOSED-PORT,Linux Most likely,LINUX,
51.9.236.50,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
151.40.166.99,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
78.125.58.176,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,49,CLOSED-PORT,Linux Most likely,LINUX,
177.143.63.244,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
47.205.178.156,ON,RANDOM,CLOSED-PORT,CLOSED,CLOSED-PORT,53,CLOSED-PORT,Linux Most likely,LINUX,
151.40.226.152,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
187.199.187.188,ON,INCREMENTAL,CLOSED-PORT,CLOSED,CLOSED-PORT,55,CLOSED-PORT,Linux Most likely,LINUX,
107.192.1.138,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
187.180.9.175,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
24.96.134.101,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
177.139.153.77,OFF,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
